ArtistId,AlbumId
7guDJrEfX3qb6FEbdPA5qi,04giHQ9zptJUHUvtIyxL9Z
4kwEd1P9j15ZqUVP5zK7Pv,04HvInEdYlipubXgZuVqCr
1cqZQSRjE8Bl0PABOkVU9c,04IBa080rNewQLv9aDxOmt
5juOkIIy18sFw9L30syt1Z,04jRKR1FwOlYye86QuMqmu
6zw2ztTodS3HBsFLwKfqbQ,04K3cJALRItJQxYLKFxUVn
2p1fiYHYiXz9qi0JJyxBzN,04MjqJpLKAJR9MmJlXtRDm
079KCmKXDlhXlhFgVtCRGN,04MWtXjJhPPRwV96yCyyjV
53QzNeFpzAaXYnrDBbDrIp,04nhRulMSOvcRCGRTa7I5l
5CCwRZC6euC8Odo6y9X8jr,04OicvVWQBHtPiEtTQTzjg
5wugb0kaq0J6nyQ5Xgd17i,04p34NOeESMYLzLO6vXGCI
3TXjnAw0sg1VVdnR9fGdBs,04QYg0Crlk7ZQDEtUuR6zi
7J2lZBANizgPNfUzux31PV,04R7Q5i9Fgx4tyaevrdgyc
0LyfQWJT6nXafLPZqxe9Of,04rz93AqGy9JduzV3K81Dh
7EhUXju6pssa8o3CvFJTew,04ZRyyDORrmuP6ddSMwr6w
1nzgtKYFckznkcVMR3Gg4z,053zz4zlT3JUZg7wv4DD9o
1Tlzl5UTXl1KdBrK7v00TQ,0545nV0xMafgK1a5Yu0N9T
3AuMNF8rQAKOzjYppFNAoB,059i5tLNW2ASf1qoVn6LSX
6UfoTQXaV3DuqtDVjZIxwZ,059jmsqbxhu2n78LMS0H3P
4TAoP0f9OuWZUesao43xUW,05AudPptuqYEWBZtozjQlb
7BGR8y1VZAWK2oR4zD9COr,05bqZVTbrWX6WplexqlbFe
1HY2Jd0NmPuamShAr6KMms,05c49JgPmL4Uz2ZeqRx5SP
0VzfZ6oTUwavynHoN4Uuxf,05HmlIZ8mHC6WrYsupC0pO
01pKrlgPJhm5dB4lneYAqS,05IlINHuWHzfPptOaW6jfz
6USv9qhCn6zfxlBQIYJ9qs,05jbNkYoEQdjVDHEHtg1gY
3ciRvbBIVz9fBoPbtSYq4x,05jX3Kda6BmEpACV7unScz
2juH2VRAmfRlPlu1oaGsuH,05KDOCKh6MALJ6kVEdXkCd
6xKQ3GOnt3gjzja4IcLyg4,05kxmfAOsdNXhPufSMJF7L
360IAlyVv4PCEVjgyMZrxK,05LEST8E8mkEIl2LRfUkcI
69MEO1AADKg1IZrq2XLzo5,05owfigVGpgPe7RKJG1hum
10n5lhNDoSMUHWLlnST1yw,05p2SZoivHg20xFgM0ibTy
57bUPid8xztkieZfS7OlEV,05pI1Rx1HQ4KA0a0e3PJlV
3u4qXYRgHgU7YtjZt9sduX,05PlK7E2ADLIjVrbhLlv2Q
5EehXjjMktLuJmbRsM7YfB,05PlK7E2ADLIjVrbhLlv2Q
1f8PlfSHEW6fHnILSzm8dI,05Q83Gc7qEPwHlnQFFwvTe
7f8LNBVXN0h35veHrpxQFL,05qYXT9UP6pXR9u0BtntD1
09dDN0QXROiB3tN7sf6sOO,05t4bZnZzhTwzA243hcF3t
1yqXgr7ZqAhQRgR8wt7GOz,05t4bZnZzhTwzA243hcF3t
0MmnmsAuQKRFpo6vJElcaU,05WTBdwkHAqk5Mg68ugD7L
1LOB7jTeEV14pHai6EXSzF,05XuMZb14sDGgreCf3Wu6F
5fyDppLDl1juIu1BcUT5zh,05XuMZb14sDGgreCf3Wu6F
7MSUfLeTdDEoZiJPDSBXgi,063f8Ej8rLVTz9KkjQKEMa
4gzpq5DPGxSnKTe4SA8HAU,06CvxUVwS8h2aJYcCtApgy
1hzMcARZTayoVUZwkkiBUb,06gtdmD7olwgoeFyiGjTeI
3e7awlrlDSwF3iM0WBjGMp,06haetPrpbIFCY1FUWzVel
63XBtGSEZINSyXylZxEUbv,06KGWP0CRqWNQ4i7RkcFXN
0QTEYauMG3DrAVPXCYMseu,06MMEA6mxfZXJ02MeQZa2c
4csQIMQm6vI2A2SCVDuM2z,06OeLYcG60zIOwsNnRgPmf
6mpxgK8EZh8VDoe6trGF0f,06OeLYcG60zIOwsNnRgPmf
4pejUc4iciQfgdX6OKulQn,06S2JBsr4U1Dz3YaenPdVq
